Aircraft Type,Unit Cost
ATR 42-300F/-320F,20
ATR 42-600,20
ATR 42/72,22
ATR 72-200F,25
ATR 72-600,25
Airbus A300,75
Airbus A310,75
Airbus A318,66
Airbus A319,90
Airbus A320,98
Airbus A320-200,98
Airbus A321,115
Airbus A321neo,126
Airbus A330,177.5
Airbus A340,216
Airbus A350,312
Airbus A350 XWB,312
Airbus A350-900,308
Airbus A380,433
Antonov An-124,75
Antonov An-148/An-158,28
Antonov An-2,2
Antonov An-28,3
Antonov An-38,2
Antonov An-74-200,19
Avro RJ100,30
Aérospatiale/BAC Concorde,29
Boeing 717,37
Boeing 727,4
Boeing 737,74
Boeing 737-800,96
Boeing 747,316
Boeing 757,73
Boeing 767,187
Boeing 777,295
Boeing 777-300,320
Boeing 787,265
Boeing 787 Dreamliner,265
Bombardier BD-500 CSeries,82
Bombardier CS100,72
Bombardier CS300,72
Bombardier Challenger 605,33
Bombardier Global 5000,50
Bombardier Global 7000/8000,50
Bombardier Global XRS,56
Bombardier Q300,31
Bombardier Q400 Nextgen,31
British Aerospace BAe 146,14
British Aerospace BAe 146/Avro RJ,14
British Aerospace BAe ATP,14
British Aerospace Jetstream 41,7
COMAC C919,68
Canadair CRJ-100 Series,32
Canadair CRJ-1000,49
Canadair CRJ-200,32
Canadair CRJ-200 Series,32
Canadair CRJ-700,41
Canadair CRJ-705,41
Canadair CRJ-900,46
Cessna 208B Grand Caravan,3
Comac ARJ21,30
De Havilland Canada DHC-6 Twin Otter,7
De Havilland Canada DHC-8 Dash 8,19
Dornier Do-328,8
Embraer E-190,46
Embraer E175,39
Embraer E175-E2,39
Embraer EMB-120 Brasilia,11
Embraer ERJ-145,20
Embraer ERJ-170,39
Embraer ERJ-190,46
Fokker F50 / F60,18
Fokker F70 / F100,20
Ilyushin Il-62,45
Ilyushin Il-96,45
Irkut MC-21,82
Lockheed L-1011 TriStar,190
McDonnell Douglas DC-10,145
McDonnell Douglas DC-8,6
McDonnell Douglas DC-9,45
McDonnell Douglas MD-11,175
McDonnell Douglas MD-80,45
McDonnell Douglas MD-90,45
Mitsubishi MRJ90,47
Q400 NextGen,31
Saab 2000,12
Saab 340,8
Sukhoi Superjet 100,28
Tupolev Tu-134,16
Tupolev Tu-154,16
Tupolev Tu-204,16
Tupolev Tu-214,16
Viking Air DHC 6-400 Twin Otter,7
