Airline,Employee ID
Aegean Airlines,7819
Olympic Air,7691
Aeroflot,3735
Rossiya Airlines,8316
Aurora Airlines,7092
Pobeda,7297
Aerolineas Argentinas,2928
Austral Líneas Aéreas,6519
Air Algerie,3875
Air Arabia,7131
Air Arabia Egypt,3404
Air Arabia Jordan,3953
Air Arabia Maroc,3253
Air Astana,8168
Air Berlin,5449
Air Canada,5937
Air Canada Jetz,1486
Air Canada Rouge,3472
Air Canada Regional,5218
Air Macau (66.9%),2308
Air China,2139
Shenzhen Airlines,3989
Shandong Airlines (51%),7863
Air China Inner Mongolia,7604
Kunming Airlines (80%),6614
Dalian Airlines (80%),6932
Air China Cargo,7284
Air Europa,7213
Air France,3302
Transavia,8510
KLM,5247
Martinair,3177
Transavia France,7406
HOP!,7246
KLM Cityhopper,3165
Air India,1222
Air India Regional,2055
Air India Express,4859
Air Malta,5140
Air Mauritius,3130
Air Namibia,2195
Air New Zealand,4348
Air New Zealand Link,2925
Air Transat,3178
Air Transport International,7797
ABX Air,6274
Air Wisconsin,7153
AirAsia,5005
AirAsia India,8263
AirAsia Japan,4316
Thai AirAsia,1466
Indonesia AirAsia,4804
Indonesia AirAsia X,2350
Philippines AirAsia,1466
AirAsia X,5813
Thai AirAsia X,6637
Alaska Airlines,1983
Horizon Air,1110
Alitalia,3238
Alitalia Cityliner,4096
Vanilla Air,5349
ANA Wings,7515
All Nippon Airways,1494
Allegiant Air,3545
American Airlines,7379
American Eagle,3402
PSA Airlines,2612
Piedmont Airlines,5182
Envoy Air,7003
Asiana Airlines,2540
Air Busan,6924
Air Seoul,3327
Atlas Air,4722
AeroUnion,6298
Avianca,6713
Avianca Brazil,5760
Avianca Ecuador,2811
Avianca Peru,7042
Avianca El Salvador/TACA Airlines,1626
Avianca Cargo Colombia,6940
Avianca Guatemala,6795
Avianca Honduras,5695
Azul,2698
Air Hong Kong,6272
Cathay Dragon,7420
Cathay Pacific,4046
Cebu Pacific Air,6081
China Airlines,6231
Tigerair Taiwan (80%),6662
Mandarin Airlines (93.99%),4748
China Eastern Airlines,2972
China United Airlines,2622
Shanghai Airlines,6916
China Cargo Airlines,2994
China Southern Airlines,7377
Copa Airlines,3042
Copa Airlines Colombia,4972
Delta Airlines,4023
Endeavor Air,7302
easyJet,3606
easyJet - Switzerland,5793
EgyptAir Cargo,1057
EgyptAir,2103
Air Cairo,2560
EgyptAir Express,2642
El Al,7164
Sun d'Or,2752
Up,2373
Emirates,5904
Ethiopian Airlines,5535
Etihad Airways,6191
EVA Air,5749
Uni Air,3474
FedEx Express,7005
FedEx Feeder Fleet,6679
Finnair,4917
Nordic Regional Airlines,4889
Flybe,3828
FlyDubai,1476
Frontier Airlines,6968
Garuda Indonesia,5759
Citilink,3076
Gol Linhas Aéreas,1639
Aeromexico Express,3363
Aeromexico,5610
Aeromexico Connect,4504
Gulf Air,2954
Lucky Air (86.68%),7086
Capital Airlines (70%),3683
Hainan Airlines,1635
China Xinhua Airlines (100%),2249
Urumqi Airlines (70%),1179
Chang An Airlines (67.01%),5352
Hawaiian Airlines,5861
British Airways,3328
Iberia,4390
Vueling,3206
Aer Lingus,3932
Iberia Express,3881
Air Nostrum/Iberia Regional,2864
Aer Lingus Regional,1405
OpenSkies,6085
BA CityFlyer,7859
Iceland Air Group,4733
IndiGo,1584
Interjet,7165
Japan Airlines,2189
Japan Air Commuter (60% owned),1692
Japan Transocean Air (72.8%),3761
J-Air,5959
Hokkaido Air System (57.3%),5264
Jazz Airlines,6425
Jet Airways,7826
Jet2,5267
JetBlue Airways,6039
Juneyao Airlines,2837
Kenya Airways,8628
Jambojet Limited,8420
Korean Air,4666
Jin Air,8029
LATAM Airlines Brazil,2215
LATAM Airlines Chile,6856
LATAM Airlines Ecuador,3005
LATAM Airlines Peru,3284
LATAM Airlines Argentina,1539
LATAM Cargo Brazil,5177
LATAM Cargo Chile,3232
Lion Air,5847
Batik Air,4948
Malindo Air,3986
Wings Air,1474
Thai Lion Air,1674
LOT Polish Airlines,2208
Lufthansa,2100
Austrian Airlines,4991
Brussels Airlines,3107
Germanwings,5038
Swiss International Airlines,1154
Eurowings,4096
Eurowings Europe,6823
Edelweiss Air,6915
Lufthansa CityLine,1102
Air Dolomiti,3526
Swiss Global Airlines,1473
Lufthansa Cargo,4704
Malaysia Airlines,5907
Firefly,7199
MASwings,7391
Air Italy,4924
Mesa Airlines,1840
Monarch Airlines,4771
Norwegian Air,1536
Norwegian UK,7112
Norwegian Air International,8453
Norwegian Long Haul,3846
Oman Air,3773
Pakistan International Airlines,2421
Pegasus Airlines,8010
Philippine Airlines,3942
PAL Express,3161
Qantas Airways,5407
Jetstar Airways,5111
QantasLink,2916
Australian Air Express,4432
Jetconnect,1472
Qantas Freight,5955
Eastern Australia Airlines,6515
Sunstate Airlines,5423
Network Aviation,7435
Qatar Airways,2309
Qatar Airways Cargo,2038
Qatar Executive,3073
Al Maha Airways,7618
Republic Airlines,7516
Royal Air Maroc,2854
Royal Air Maroc Express,6240
Royal Jordanian,3826
Royal Wings,7693
RyanAir,5490
S7 Airlines,4985
Scandinavian Airlines,7795
Air Greenland,2527
Widerøe,6667
Saudi Arabian Airlines,2298
Singapore Airlines,2252
SilkAir,6857
Singapore Airlines Cargo,3268
Skymark Airlines,3774
Skywest,1943
Skywest Airlines,1626
South African Airways,5158
Mango,7630
Southwest Airlines,3807
SpiceJet,7557
Spirit Airlines,2451
Spring Airlines,3295
SunExpress,4967
SunExpress Deutschland,3852
